Handle;Main language;Type;# tweets;Start;Followers;;;;;
AtheistRepublic;English;Non-religious;109001;2011;138001;;;;;
AmericanAtheist;English;Non-religious;24138;2008;135524;;;;;
HumanistReport;English;Non-religious;29030;2015;119528;;;;;
Humanists_UK;English;Non-religious;56864;2009;109131;;;;;
ThinkAtheist;English;Non-religious;71968;2008;91627;;;;;
americnhumanist;English;Non-religious;18246;2009;73762;;;;;
ThinkingAtheist;English;Non-religious;13092;2010;70264;;;;;
center4inquiry;English;Non-religious;64133;2009;64133;;;;;
seculardotorg;English;Non-religious;27620;2009;56412;;;;;
AtheistQOTD;English;Non-religious;5018;2007;51681;;;;;
AtheistWorld;English;Non-religious;39975;2010;47004;;;;;
atheistalliance;English;Non-religious;24077;2009;39721;;;;;
NewHumanist;English;Non-religious;3524;2009;32753;;;;;
stlatheists01;English;Non-religious;17207;2017;31994;;;;;
SecularUndergro;English;Non-religious;1556;2010;27826;;;;;
SecularStudents;English;Non-religious;21677;2009;24821;;;;;
HumanistsInt;English;Non-religious;17173;2009;20789;;;;;
vjack;English;Non-religious;47116;2008;20654;;;;;
AtheistMedia;English;Non-religious;2009;2008;17587;;;;;
IndianAtheists;English;Non-religious;3283;2010;14884;;;;;
UAAR_it;Italian;Non-religious;34437;2009;13060;;;;;
AtheistAus;English;Non-religious;12251;2009;11968;;;;;
atheistie;English;Non-religious;32204;2009;10227;;;;;
HappyAtheist;English;Non-religious;8301;2009;8386;;;;;
FFBAtheists;English;Non-religious;1967;2020;8308;;;;;
ProgAtheistsInc;English;Non-religious;18000;2013;7700;;;;;
AtheistsRead;English;Non-religious;23159;2018;7507;;;;;
AtheistsInKenya;English;Non-religious;14134;2014;7475;;;;;
HarvardHumanist;English;Non-religious;5022;2010;7373;;;;;
BNonbelievers;English;Non-religious;2506;2012;6522;;;;;
EU_Humanists;English;Non-religious;2192;2013;6133;;;;;
UngodlyAtheism;English;Non-religious;30378;2017;6023;;;;;
AtheistBus;English;Non-religious;364;2009;5703;;;;;
AtheistsLiberty;English;Non-religious;1216;2020;4626;;;;;
humanistsociety;English;Non-religious;7749;2010;4388;;;;;
tgiatheist;English;Non-religious;2667;2011;4153;;;;;
GlobalAtheist;English;Non-religious;50894;2009;3914;;;;;
ardentatheists;English;Non-religious;5384;2011;3721;;;;;
iaatheists;English;Non-religious;1568;2020;3624;;;;;
PakistaniAA;English;Non-religious;1342;2011;3524;;;;;
HumanismIreland;English;Non-religious;2724;2009;3429;;;;;
HumanistStudent;English;Non-religious;4664;2010;3233;;;;;
AtheismUK;English;Non-religious;2824;2011;3109;;;;;
anatheistblog;English;Non-religious;1159;2010;3087;;;;;
abhumanists;English;Non-religious;4168;2012;3060;;;;;
anatheistnews;English;Non-religious;6829;2009;3001;;;;;
ExMuslimsOfNZ;English;Non-religious;1301;2018;2941;;;;;
AtheistHitSquad;English;Non-religious;7182;2009;2932;;;;;
ex_africa;English;Non-religious;1288;1288;2860;;;;;
YoungHumanists;English;Non-religious;2565;2014;2784;;;;;
LabourHumanists;English;Non-religious;3647;2009;2717;;;;;
BASSatCal;English;Non-religious;278;2015;2682;;;;;
LondonHumanists;English;Non-religious;2482;2010;2648;;;;;
AtheistMatch;English;Non-religious;55315;2015;2614;;;;;
HumanismEdu;English;Non-religious;2450;2015;2558;;;;;
HumanistNN;English;Non-religious;32548;2012;2434;;;;;
MidEastAtheists;English;Non-religious;54;2014;2321;;;;;
AtheistNg;English;Non-religious;682;2017;2260;;;;;
prolifehumanist;English;Non-religious;1626;2012;2229;;;;;
Ceremonies_UK;English;Non-religious;3970;2012;2199;;;;;
AtheistVoices;English;Non-religious;445;2013;2175;;;;;
LGBTQHumanists;English;Non-religious;2718;2010;2161;;;;;
ApostateAfrican;English;Non-religious;10526;2020;2156;;;;;
YoungHumanIntl;English;Non-religious;2205;2009;2143;;;;;
brumhums;English;Non-religious;7286;2010;2122;;;;;
NoReligionIndo;English;Non-religious;980;2020;2112;;;;;
darkatheist;English;Non-religious;4897;2012;2105;;;;;
TSH_News;English;Non-religious;906;2014;1998;;;;;
atheists4xmas;English;Non-religious;1882;2017;1994;;;;;
Humanists_Aus;English;Non-religious;277;2021;1948;;;;;
jaxfreethought;English;Non-religious;601;2019;1796;;;;;
BCHumanist;English;Non-religious;8228;2012;1787;;;;;
Atheist_TV;English;Non-religious;229;2014;1783;;;;;
AHAustralia;English;Non-religious;2013;2014;1735;;;;;
aahumanism;English;Non-religious;590;2012;1624;;;;;
AtheismResource;English;Non-religious;11157;2010;1614;;;;;
SELnHumanists;English;Non-religious;2389;2012;1564;;;;;
NIhumanists;English;Non-religious;897;2016;1500;;;;;
WeAreAtheism;English;Non-religious;3773;2011;1481;;;;;
DamnedAtheists;English;Non-religious;67585;2009;1476;;;;;
Dhumanists;English;Non-religious;1973;2012;1470;;;;;
HUUmanistsAssoc;English;Non-religious;1535;2013;1451;;;;;
HumanismSpeaks;English;Non-religious;2831;2014;1439;;;;;
atheistolizer;English;Non-religious;75826;2014;1430;;;;;
AthMemeStkrm;English;Non-religious;122;2020;1404;;;;;
Black_Atheists;English;Non-religious;17713;2008;1385;;;;;
HumanistOhio;English;Non-religious;5625;2009;1368;;;;;
GshmFTW;English;Non-religious;16667;2012;1364;;;;;
HumanistChoir;English;Non-religious;2201;2012;1356;;;;;
HumanistsGH;English;Non-religious;1516;2014;1295;;;;;
humanism2014;English;Non-religious;1757;2013;1284;;;;;
AtheistFeedz;English;Non-religious;125441;2011;1248;;;;;
TweetsOfAtheism;English;Non-religious;4048;2012;1229;;;;;
heaven_atheist;English;Non-religious;10314;2016;1222;;;;;
AXPliveshow;English;Non-religious;179;2021;1219;;;;;
AtheistEdge;English;Non-religious;4094;2017;1204;;;;;
ExHinduAtheist;English;Non-religious;405;2021;1185;;;;;
NEHumanists;English;Non-religious;1077;2009;1179;;;;;
AtheistOK;English;Non-religious;4174;2009;1175;;;;;
AtheistDiscord;English;Non-religious;1583;2020;1162;;;;;
famousatheists;English;Non-religious;913;2011;1156;;;;;
dorsethumanists;English;Non-religious;976;2011;1113;;;;;
Humanists4Biden;English;Non-religious;291;2020;1110;;;;;
AtheistsTalk;English;Non-religious;2408;2012;1104;;;;;
CDFHumanists;English;Non-religious;1433;2010;1100;;;;;
YaleHumanists;English;Non-religious;1137;2013;1097;;;;;
nyc_atheists;English;Non-religious;22066;2009;1075;;;;;
HumanismProject;English;Non-religious;1704;2020;1068;;;;;
Humanistco;English;Non-religious;2129;2014;1059;;;;;
MNAtheists;English;Non-religious;1317;2009;1026;;;;;
CanAtheist;English;Non-religious;6017;2010;1006;;;;;
militaryatheist;English;Non-religious;4372;2011;990;;;;;
LivHumanists;English;Non-religious;1217;2010;976;;;;;
AtheistsOfUtah;English;Non-religious;1594;2011;975;;;;;
GMHumanists;English;Non-religious;7286;2013;973;;;;;
MovArturoAteo;Italian;Non-religious;509;2017;959;;;;;
BostonAtheists;English;Non-religious;683;2009;940;;;;;
HumanistTweet;English;Non-religious;891;2012;875;;;;;
TransAtheistPod;English;Non-religious;14334;2012;870;;;;;
WeLoveAtheism;English;Non-religious;31943;2012;848;;;;;
UnitedHumanists;English;Non-religious;19200;2012;848;;;;;
SwindonHumanist;English;Non-religious;1165;2013;842;;;;;
HSHTX;English;Non-religious;1091;2014;838;;;;;
WalesHumanists;English;Non-religious;751;2016;836;;;;;
AtheistVoicesMN;English;Non-religious;223;2012;832;;;;;
suffolkhands;English;Non-religious;2182;2009;829;;;;;
AtheistsLA;English;Non-religious;2056;2014;823;;;;;
RutgersHumanist;English;Non-religious;412;2014;817;;;;;
GoogleAtheist;English;Non-religious;56531;2011;793;;;;;
HAHumanists;English;Non-religious;2361;2013;779;;;;;
AskAnAtheistWA;English;Non-religious;1832;2010;746;;;;;
humanistwedding;English;Non-religious;2430;2019;743;;;;;
HumanistExp;English;Non-religious;309;2015;737;;;;;
CLT_Atheists;English;Non-religious;1380;2009;729;;;;;
KCAtheists;English;Non-religious;5282;2011;728;;;;;
CCHumanists;English;Non-religious;6691;2013;720;;;;;
humanistfunera1;English;Non-religious;1242;2019;718;;;;;
WSHumanists;English;Non-religious;531;2010;716;;;;;
Humanist_Canada;English;Non-religious;499;2015;702;;;;;
repubatheists;English;Non-religious;3546;2017;701;;;;;
theBHAblog;English;Non-religious;330;2014;697;;;;;
NormalizingA;English;Non-religious;48;2021;689;;;;;
PlymHumans;English;Non-religious;4713;2012;686;;;;;
GWHumanists;English;Non-religious;580;2009;682;;;;;
Atheism101pod;English;Non-religious;6074;2013;671;;;;;
AtheistsofFla;English;Non-religious;6508;2014;668;;;;;
CNYHumanists;English;Non-religious;1065;2014;661;;;;;
SLHumanists;English;Non-religious;299;2014;659;;;;;
hkatheists;English;Non-religious;156;2012;639;;;;;
SeaAtheistChrch;English;Non-religious;305;2015;636;;;;;
NZAtheistBus;English;Non-religious;333;2009;627;;;;;
maltahumanists;English;Non-religious;547;2013;617;;;;;
BhartiyaAgnosti;English;Non-religious;43375;2011;604;;;;;
BlackHumanists;English;Non-religious;1110;2016;598;;;;;
pdxhumanists;English;Non-religious;14946;2014;594;;;;;
CWHums;English;Non-religious;521;2014;593;;;;;
floridahumanist;English;Non-religious;1793;2013;579;;;;;
humanistsmn;English;Non-religious;658;2009;555;;;;;
vichumanist;English;Non-religious;2218;2010;555;;;;;
htotwpodcast;English;Non-religious;5485;2013;548;;;;;
ShropsHumanists;English;Non-religious;1264;2013;548;;;;;
wyhumanists;English;Non-religious;205;2010;543;;;;;
ExeAHS;English;Non-religious;802;2009;535;;;;;
CFImichigan;English;Non-religious;2900;2009;525;;;;;
MetAtheists;English;Non-religious;768;2009;524;;;;;
TheCOAPodcast;English;Non-religious;19769;2020;501;;;;;
CHShumanists;English;Non-religious;2538;2018;491;;;;;
COHumanists;English;Non-religious;147;2011;489;;;;;
EHSLI;English;Non-religious;1462;2010;480;;;;;
AtheismHumanism;English;Non-religious;459;2018;479;;;;;
SoberAtheist;English;Non-religious;1569;2011;473;;;;;
AtheistsStudio;English;Non-religious;457;2009;464;;;;;
AthOnTwi;English;Non-religious;82;2009;462;;;;;
H_Heritage;English;Non-religious;459;2010;457;;;;;
HumanistSG;English;Non-religious;2265;2012;452;;;;;
MSatheists;English;Non-religious;10160;2014;451;;;;;
HumanistALagos;English;Non-religious;460;2015;449;;;;;
harrowhumanists;English;Non-religious;947;2014;445;;;;;
HumanistsRI;English;Non-religious;1110;2013;445;;;;;
ChiltHumanists;English;Non-religious;670;2015;439;;;;;
Teeshumanists;English;Non-religious;7604;2015;438;;;;;
HumanistDoodle;English;Non-religious;3211;2014;426;;;;;
agnosticradio;English;Non-religious;574;2010;421;;;;;
AfghanHumanists;English;Non-religious;334;2013;421;;;;;
TheHumanistSoc;English;Non-religious;212;2016;387;;;;;
ChiHumanists;English;Non-religious;954;2013;387;;;;;
HumanistNZ;English;Non-religious;191;2015;382;;;;;
HTX_Humanists;English;Non-religious;843;2010;376;;;;;
Tweathen;English;Non-religious;2458;2009;375;;;;;
secularmissoula;English;Non-religious;1405;2009;372;;;;;
GMHumanistChoir;English;Non-religious;317;2013;364;;;;;
HumanistHelper;English;Non-religious;597;2019;362;;;;;
EdmontonAtheist;English;Non-religious;242;2010;362;;;;;
sanjoseatheists;English;Non-religious;1494;2013;354;;;;;
HorshamHumanist;English;Non-religious;521;2014;350;;;;;
MBhumanists;English;Non-religious;1156;2012;350;;;;;
massatheists;English;Non-religious;105;2015;346;;;;;
HumanistsWhen;English;Non-religious;6869;2020;338;;;;;
HAPItweets;English;Non-religious;4479;2014;332;;;;;
ConservAtheist1;English;Non-religious;3058;2009;330;;;;;
humanism;English;Non-religious;2939;2009;329;;;;;
whcoslo2011;English;Non-religious;314;2009;329;;;;;
WarksHumanists;English;Non-religious;313;2013;328;;;;;
CanadaHumanist;English;Non-religious;451;2020;324;;;;;
humanisthall;English;Non-religious;4031;2008;313;;;;;
ELonHumanists;English;Non-religious;242;2014;308;;;;;
partitoumanista;Italian;Non-religious;1488;2010;306;;;;;
SeattleAtheists;English;Non-religious;174;2010;302;;;;;
HumanistClimate;English;Non-religious;363;2021;294;;;;;
exehumans;English;Non-religious;442;2013;285;;;;;
STHumanist;English;Non-religious;194;2019;283;;;;;
mortal_atheist;English;Non-religious;354;2020;280;;;;;
SydneyAtheists;English;Non-religious;499;2009;275;;;;;
AtheismActually;English;Non-religious;1535;2020;274;;;;;
Iowa_Atheists;English;Non-religious;365;2009;272;;;;;
UCDHumanist;English;Non-religious;57;2009;270;;;;;
LivUniHumanists;English;Non-religious;365;2012;259;;;;;
qmatheismsoc;English;Non-religious;92;2009;250;;;;;
HumanistsKernow;English;Non-religious;254;2016;246;;;;;
GreekHumanists;English;Non-religious;120;2012;246;;;;;
ChesterHumst;English;Non-religious;296;2018;244;;;;;
HaitianAtheists;English;Non-religious;767;2014;239;;;;;
atheiststoday;English;Non-religious;877;2009;236;;;;;
NIAtheists;English;Non-religious;289;2017;235;;;;;
farnhamhumanist;English;Non-religious;43;2013;233;;;;;
husahsoc;English;Non-religious;470;2015;231;;;;;
AHS_plus_blog;English;Non-religious;977;2021;230;;;;;
HantsHumanist;English;Non-religious;448;2011;230;;;;;
OxfordAtheists;English;Non-religious;6;2010;229;;;;;
humanistunion;English;Non-religious;206;2009;229;;;;;
JewishHumanism;English;Non-religious;510;2016;229;;;;;
HumStudSoton;English;Non-religious;320;2010;218;;;;;
sea_atheists;English;Non-religious;298;2010;214;;;;;
AAAPORG;English;Non-religious;26;2019;214;;;;;
redbankhumanist;English;Non-religious;403;2011;207;;;;;
GlosHumanists;English;Non-religious;2927;2014;207;;;;;
AtheismEpicFail;English;Non-religious;1917;2013;203;;;;;
cthumanist;English;Non-religious;327;2010;202;;;;;
weagnosticspod;English;Non-religious;2489;2017;201;;;;;
WASHumanists;English;Non-religious;1922;2011;196;;;;;
osumcghhs;English;Non-religious;138;2020;195;;;;;
LancUniHumanist;English;Non-religious;604;2010;195;;;;;
ChicagoHumanist;English;Non-religious;235;2019;191;;;;;
AtheistsChaotic;English;Non-religious;9384;2019;184;;;;;
thinkagnostic;English;Non-religious;46;2014;180;;;;;
HumanistsofFL;English;Non-religious;608;2011;177;;;;;
HumanistsWA;English;Non-religious;9;2009;175;;;;;
HumanistsWLE;English;Non-religious;942;2018;175;;;;;
HSGP;English;Non-religious;298;2011;175;;;;;
HrfdHumanists;English;Non-religious;1201;2015;174;;;;;
York_Humanists;English;Non-religious;424;2015;172;;;;;
NJHN_org;English;Non-religious;630;2017;162;;;;;
HumanistCommSV;English;Non-religious;1124;2013;157;;;;;
CIHumanists;English;Non-religious;133;2017;157;;;;;
APPGhumanists;English;Non-religious;133;2021;157;;;;;
LIAtheists;English;Non-religious;1110;2015;156;;;;;
HumanistTayside;English;Non-religious;176;2013;154;;;;;
CapeHumanists;English;Non-religious;1668;2011;151;;;;;
MSHumanists;English;Non-religious;904;2014;148;;;;;
londonhumanist;English;Non-religious;2270;2014;146;;;;;
BHumanists;English;Non-religious;538;2015;146;;;;;
CorkHumanists;English;Non-religious;69;2013;138;;;;;
GlassHumanist;English;Non-religious;431;2020;136;;;;;
atheismisnormal;English;Non-religious;5;2021;134;;;;;
CUASHSoc;English;Non-religious;103;2019;132;;;;;
pennghhs;English;Non-religious;93;2018;129;;;;;
ShefHumanists;English;Non-religious;167;2020;128;;;;;
Goldhumanists;English;Non-religious;53;2012;127;;;;;
shorva2011;English;Non-religious;403;2018;125;;;;;
AtheistsAtWork;English;Non-religious;285;2015;122;;;;;
atheist_atheism;English;Non-religious;12;2017;122;;;;;
humanist_vce;English;Non-religious;611;2011;122;;;;;
ATXHAW;English;Non-religious;1450;2014;122;;;;;
LVHumanists;English;Non-religious;297;2015;111;;;;;
Tauntonhumanism;English;Non-religious;61;2010;102;;;;;
HumanistPodcast;English;Non-religious;36;2015;101;;;;;
